row_id;physical_stack_height_m;stack_exit_velocity_m_s;stack_diameter_m;stack_effluent_temp_deg_c;air_temperature_deg_c;effective_release_height_m;wind_speed_h=10_m_m_s;wind_direction_degrees;wind_from_the;wind_speed_h=h-eff_m_s;stability_class;receptor_height_m;inversion_layer_height;sample_time_min;breathing_rate_m3_sec;distance_coordinates;maximum_dose_distance_km_;maximum_tede_sv;inner_contour_dose_sv;middle_contour_dose_sv;outer_contour_dose_sv;exceeds_inner_dose_out_to_km;exceeds_middle_dose_out_to_km;exceeds_outer_dose_out_to_km;distance_km;tede_sv;respirable_time-integrated_air_concentration_bq-sec_m3;ground_surface_deposition_kbq_m2;ground_shine_dose_rate_sv_hr;arrival_time_hour:min;skin;surface_bone;spleen;breast;uli_wall;thymus;kidneys;pancreas;lung;red_marrow;ovaries;stomach_wall;lli_wall;esophagus;testes;brain;thyroid;liver;adrenals;si_wall;bladder_wall;muscle;uterus;inhalation_plume_passage;submersion_plume_passage;ground_shine
1;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;3.00e-02;7.30e+02;1.60e+14;5.00e+08;6.50e-01;00:01;2.70e+02;2.70e+03;9.90e+01;1.00e+02;1.00e+02;1.00e+02;9.80e+01;9.30e+01;1.30e+02;1.30e+03;9.70e+01;1.00e+02;1.10e+02;9.70e+01;1.10e+02;5.10e+01;1.30e+04;9.80e+01;9.90e+01;9.80e+01;9.90e+01;1.00e+02;9.80e+01;6.76e+02;2.84e+00;5.42e+01
2;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;1.00e-01;6.80e+01;1.50e+13;4.50e+07;5.90e-02;00:01;2.50e+01;2.50e+02;9.00e+00;9.50e+00;9.20e+00;9.40e+00;8.90e+00;8.50e+00;1.20e+01;1.20e+02;8.80e+00;9.10e+00;1.00e+01;8.90e+00;9.70e+00;4.60e+00;1.20e+03;9.00e+00;9.00e+00;8.90e+00;9.00e+00;9.50e+00;8.90e+00;6.25e+01;2.63e-01;4.87e+00
3;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;5.00e-01;2.70e+00;6.00e+11;1.80e+06;2.40e-03;00:03;1.00e+00;1.00e+01;3.60e-01;3.80e-01;3.70e-01;3.80e-01;3.60e-01;3.40e-01;5.00e-01;4.90e+00;3.60e-01;3.70e-01;4.10e-01;3.60e-01;3.90e-01;1.90e-01;5.10e+01;3.60e-01;3.70e-01;3.60e-01;3.70e-01;3.90e-01;3.60e-01;2.54e+00;1.07e-02;1.97e-01
4;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;1.00e+00;7.00e-01;1.50e+11;4.60e+05;6.10e-04;00:06;2.50e-01;2.60e+00;9.30e-02;9.80e-02;9.50e-02;9.70e-02;9.20e-02;8.80e-02;1.30e-01;1.20e+00;9.10e-02;9.40e-02;1.00e-01;9.20e-02;1.00e-01;4.80e-02;1.30e+01;9.30e-02;9.30e-02;9.20e-02;9.40e-02;9.80e-02;9.20e-02;6.47e-01;2.72e-03;5.03e-02
5;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;2.00e+00;1.80e-01;4.00e+10;1.20e+05;1.60e-04;00:12;6.60e-02;6.80e-01;2.40e-02;2.50e-02;2.50e-02;2.50e-02;2.40e-02;2.30e-02;3.30e-02;3.20e-01;2.40e-02;2.50e-02;2.70e-02;2.40e-02;2.60e-02;1.20e-02;3.40e+00;2.40e-02;2.40e-02;2.40e-02;2.40e-02;2.60e-02;2.40e-02;1.68e-01;7.08e-04;1.31e-02
6;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;4.00e+00;4.90e-02;1.10e+10;3.20e+04;4.20e-05;00:24;1.80e-02;1.80e-01;6.50e-03;6.90e-03;6.70e-03;6.80e-03;6.50e-03;6.20e-03;8.90e-03;8.70e-02;6.40e-03;6.60e-03;7.30e-03;6.40e-03;7.00e-03;3.30e-03;9.00e-01;6.50e-03;6.50e-03;6.50e-03;6.60e-03;6.90e-03;6.40e-03;4.53e-02;1.91e-04;3.52e-03
7;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;6.00e+00;2.30e-02;5.10e+09;1.50e+04;2.00e-05;00:37;8.40e-03;8.70e-02;3.10e-03;3.20e-03;3.20e-03;3.20e-03;3.10e-03;2.90e-03;4.20e-03;4.10e-02;3.00e-03;3.10e-03;3.40e-03;3.00e-03;3.30e-03;1.60e-03;4.30e-01;3.10e-03;3.10e-03;3.10e-03;3.10e-03;3.30e-03;3.10e-03;2.15e-02;9.04e-05;1.67e-03
8;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;8.00e+00;1.40e-02;3.00e+09;9.10e+03;1.20e-05;00:49;5.00e-03;5.20e-02;1.80e-03;1.90e-03;1.90e-03;1.90e-03;1.80e-03;1.70e-03;2.50e-03;2.50e-02;1.80e-03;1.90e-03;2.00e-03;1.80e-03;2.00e-03;9.50e-04;2.50e-01;1.80e-03;1.80e-03;1.80e-03;1.90e-03;1.90e-03;1.80e-03;1.28e-02;5.38e-05;9.95e-04
9;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;5.27e+03;7.00e-01;1.00e-01;5.00e-02;9.90e-01;2.70e+00;;1.00e+01;9.30e-03;2.10e+09;6.20e+03;8.10e-06;01:02;3.40e-03;3.50e-02;1.20e-03;1.30e-03;1.30e-03;1.30e-03;1.20e-03;1.20e-03;1.70e-03;1.70e-02;1.20e-03;1.30e-03;1.40e-03;1.20e-03;1.30e-03;6.40e-04;1.70e-01;1.20e-03;1.20e-03;1.20e-03;1.20e-03;1.30e-03;1.20e-03;8.63e-03;3.63e-05;6.70e-04
10;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;3.00e-02;1.60e+03;3.50e+14;1.10e+09;1.50e+00;00:01;6.20e+02;5.90e+03;2.20e+02;2.30e+02;2.20e+02;2.30e+02;2.20e+02;2.10e+02;3.00e+02;2.80e+03;2.20e+02;2.20e+02;2.40e+02;2.20e+02;2.40e+02;1.20e+02;2.90e+04;2.20e+02;2.20e+02;2.20e+02;2.20e+02;2.30e+02;2.20e+02;1.46e+03;6.15e+00;1.24e+02
11;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;1.00e-01;1.50e+02;3.40e+13;1.00e+08;1.30e-01;00:01;5.60e+01;5.70e+02;2.00e+01;2.10e+01;2.10e+01;2.10e+01;2.00e+01;1.90e+01;2.80e+01;2.70e+02;2.00e+01;2.10e+01;2.30e+01;2.00e+01;2.20e+01;1.10e+01;2.80e+03;2.00e+01;2.00e+01;2.00e+01;2.10e+01;2.20e+01;2.00e+01;1.42e+02;5.95e-01;1.11e+01
12;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;5.00e-01;6.20e+00;1.40e+12;4.10e+06;5.40e-03;00:03;2.30e+00;2.30e+01;8.30e-01;8.70e-01;8.40e-01;8.60e-01;8.20e-01;7.80e-01;1.10e+00;1.10e+01;8.10e-01;8.40e-01;9.20e-01;8.10e-01;8.90e-01;4.20e-01;1.10e+02;8.20e-01;8.30e-01;8.20e-01;8.30e-01;8.70e-01;8.20e-01;5.75e+00;2.42e-02;4.47e-01
13;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;1.00e+00;1.60e+00;3.50e+11;1.00e+06;1.40e-03;00:06;5.70e-01;5.90e+00;2.10e-01;2.20e-01;2.10e-01;2.20e-01;2.10e-01;2.00e-01;2.90e-01;2.80e+00;2.10e-01;2.10e-01;2.30e-01;2.10e-01;2.30e-01;1.10e-01;2.90e+01;2.10e-01;2.10e-01;2.10e-01;2.10e-01;2.20e-01;2.10e-01;1.46e+00;6.16e-03;1.14e-01
14;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;2.00e+00;4.10e-01;9.00e+10;2.70e+05;3.60e-04;00:12;1.50e-01;1.50e+00;5.50e-02;5.70e-02;5.60e-02;5.70e-02;5.40e-02;5.20e-02;7.50e-02;7.30e-01;5.40e-02;5.50e-02;6.10e-02;5.40e-02;5.90e-02;2.80e-02;7.60e+00;5.40e-02;5.50e-02;5.40e-02;5.50e-02;5.80e-02;5.40e-02;3.80e-01;1.60e-03;2.95e-02
15;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;B;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;7.76e+03;7.00e-01;1.00e-01;5.00e-02;1.50e+00;4.20e+00;;4.00e+00;1.10e-01;2.40e+10;7.30e+04;9.60e-05;00:24;4.00e-02;4.20e-01;1.50e-02;1.50e-02;1.50e-02;1.50e-02;1.50e-02;1.40e-02;2.00e-02;2.00e-01;1.40e-02;1.50e-02;1.60e-02;1.40e-02;1.60e-02;7.50e-03;2.00e+00;1.50e-02;1.50e-02;1.50e-02;1.50e-02;1.60e-02;1.50e-02;1.02e-01;4.30e-04;7.94e-03
