row_id;organ/stabiliy_class_dose_class_distance_km;A_0.03;A_0.1;A_0.5;A_1.0;A_2.0;A_4.0;A_6.0;A_8.0;A_10.0;B_0.03;B_0.1;B_0.5;B_1.0;B_2.0;B_4.0;B_6.0;B_8.0;B_10.0;C_0.03;C_0.1;C_0.5;C_1.0;C_2.0;C_4.0;C_6.0;C_8.0;C_10.0;D_0.03;D_0.1;D_0.5;D_1.0;D_2.0;D_4.0;D_6.0;D_8.0;D_10.0;E_0.03;E_0.1;E_0.5;E_1.0;E_2.0;E_4.0;E_6.0;E_8.0;E_10.0;F_0.03;F_0.1;F_0.5;F_1.0;F_2.0;F_4.0;F_6.0;F_8.0;F_10.0
1;adrenals;9.90e+01;9.00e+00;3.70e-01;9.30e-02;2.40e-02;6.50e-03;3.10e-03;1.80e-03;1.20e-03;2.20e+02;2.00e+01;8.30e-01;2.10e-01;5.50e-02;1.50e-02;7.00e-03;4.20e-03;2.80e-03;4.70e+02;4.70e+01;2.00e+00;5.20e-01;1.40e-01;4.40e-02;2.30e-02;1.50e-02;1.10e-02;8.80e+02;9.60e+01;4.80e+00;1.40e+00;4.60e-01;1.60e-01;9.00e-02;6.00e-02;4.50e-02;2.20e+03;3.00e+02;1.40e+01;3.80e+00;1.20e+00;4.00e-01;2.30e-01;1.60e-01;1.30e-01;6.10e+03;8.40e+02;3.90e+01;1.00e+01;2.90e+00;9.10e-01;4.90e-01;3.30e-01;2.40e-01
2;bladder_wall;9.90e+01;9.00e+00;3.70e-01;9.40e-02;2.40e-02;6.60e-03;3.10e-03;1.90e-03;1.20e-03;2.20e+02;2.10e+01;8.30e-01;2.10e-01;5.50e-02;1.50e-02;7.00e-03;4.20e-03;2.80e-03;4.80e+02;4.70e+01;2.00e+00;5.20e-01;1.50e-01;4.40e-02;2.30e-02;1.50e-02;1.10e-02;9.00e+02;9.70e+01;4.80e+00;1.40e+00;4.70e-01;1.60e-01;9.00e-02;6.00e-02;4.50e-02;2.30e+03;3.00e+02;1.40e+01;3.80e+00;1.20e+00;4.10e-01;2.30e-01;1.60e-01;1.30e-01;6.50e+03;8.60e+02;3.90e+01;1.00e+01;2.90e+00;9.20e-01;4.90e-01;3.30e-01;2.40e-01
3;brain;5.10e+01;4.60e+00;1.90e-01;4.80e-02;1.20e-02;3.30e-03;1.60e-03;9.50e-04;6.40e-04;1.20e+02;1.10e+01;4.20e-01;1.10e-01;2.80e-02;7.50e-03;3.60e-03;2.10e-03;1.40e-03;2.70e+02;2.40e+01;1.00e+00;2.70e-01;7.40e-02;2.20e-02;1.20e-02;7.60e-03;5.50e-03;5.30e+02;5.00e+01;2.40e+00;7.40e-01;2.40e-01;8.30e-02;4.60e-02;3.10e-02;2.30e-02;1.80e+03;1.60e+02;7.00e+00;1.90e+00;5.90e-01;2.10e-01;1.20e-01;8.30e-02;6.40e-02;6.40e+03;5.30e+02;2.00e+01;5.20e+00;1.50e+00;4.70e-01;2.50e-01;1.70e-01;1.20e-01
4;breast;1.00e+02;9.50e+00;3.80e-01;9.80e-02;2.50e-02;6.90e-03;3.20e-03;1.90e-03;1.30e-03;2.30e+02;2.10e+01;8.70e-01;2.20e-01;5.70e-02;1.50e-02;7.30e-03;4.40e-03;2.90e-03;5.00e+02;4.90e+01;2.00e+00;5.40e-01;1.50e-01;4.60e-02;2.40e-02;1.60e-02;1.10e-02;9.50e+02;1.00e+02;5.00e+00;1.50e+00;4.90e-01;1.70e-01;9.40e-02;6.30e-02;4.70e-02;2.50e+03;3.20e+02;1.40e+01;4.00e+00;1.20e+00;4.20e-01;2.40e-01;1.70e-01;1.30e-01;7.30e+03;9.10e+02;4.10e+01;1.10e+01;3.00e+00;9.60e-01;5.10e-01;3.40e-01;2.50e-01
5;esophagus;9.70e+01;8.90e+00;3.60e-01;9.20e-02;2.40e-02;6.40e-03;3.00e-03;1.80e-03;1.20e-03;2.20e+02;2.00e+01;8.10e-01;2.10e-01;5.40e-02;1.40e-02;6.90e-03;4.10e-03;2.80e-03;4.60e+02;4.60e+01;1.90e+00;5.10e-01;1.40e-01;4.30e-02;2.30e-02;1.50e-02;1.10e-02;8.60e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.80e-02;5.90e-02;4.40e-02;2.10e+03;3.00e+02;1.30e+01;3.70e+00;1.10e+00;4.00e-01;2.30e-01;1.60e-01;1.20e-01;5.80e+03;8.20e+02;3.80e+01;1.00e+01;2.80e+00;9.00e-01;4.80e-01;3.20e-01;2.40e-01
6;kidneys;9.80e+01;8.90e+00;3.60e-01;9.20e-02;2.40e-02;6.50e-03;3.10e-03;1.80e-03;1.20e-03;2.20e+02;2.00e+01;8.20e-01;2.10e-01;5.40e-02;1.50e-02;6.90e-03;4.10e-03;2.80e-03;4.70e+02;4.60e+01;1.90e+00;5.10e-01;1.40e-01;4.30e-02;2.30e-02;1.50e-02;1.10e-02;8.90e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02;2.30e+03;3.00e+02;1.30e+01;3.80e+00;1.20e+00;4.00e-01;2.30e-01;1.60e-01;1.30e-01;6.50e+03;8.50e+02;3.80e+01;1.00e+01;2.90e+00;9.00e-01;4.90e-01;3.20e-01;2.40e-01
7;liver;9.80e+01;9.00e+00;3.60e-01;9.30e-02;2.40e-02;6.50e-03;3.10e-03;1.80e-03;1.20e-03;2.20e+02;2.00e+01;8.20e-01;2.10e-01;5.40e-02;1.50e-02;6.90e-03;4.10e-03;2.80e-03;4.70e+02;4.60e+01;1.90e+00;5.10e-01;1.40e-01;4.40e-02;2.30e-02;1.50e-02;1.10e-02;8.90e+02;9.60e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02;2.30e+03;3.00e+02;1.30e+01;3.80e+00;1.20e+00;4.00e-01;2.30e-01;1.60e-01;1.30e-01;6.50e+03;8.50e+02;3.80e+01;1.00e+01;2.90e+00;9.10e-01;4.90e-01;3.20e-01;2.40e-01
8;lli_wall;1.10e+02;1.00e+01;4.10e-01;1.00e-01;2.70e-02;7.30e-03;3.40e-03;2.00e-03;1.40e-03;2.40e+02;2.30e+01;9.20e-01;2.30e-01;6.10e-02;1.60e-02;7.70e-03;4.60e-03;3.10e-03;5.20e+02;5.20e+01;2.20e+00;5.70e-01;1.60e-01;4.90e-02;2.50e-02;1.60e-02;1.20e-02;9.70e+02;1.10e+02;5.30e+00;1.60e+00;5.10e-01;1.80e-01;1.00e-01;6.70e-02;4.90e-02;2.40e+03;3.30e+02;1.50e+01;4.20e+00;1.30e+00;4.50e-01;2.60e-01;1.80e-01;1.40e-01;6.50e+03;9.20e+02;4.30e+01;1.10e+01;3.20e+00;1.00e+00;5.40e-01;3.60e-01;2.70e-01
9;lung;1.30e+02;1.20e+01;5.00e-01;1.30e-01;3.30e-02;8.90e-03;4.20e-03;2.50e-03;1.70e-03;3.00e+02;2.80e+01;1.10e+00;2.90e-01;7.50e-02;2.00e-02;9.50e-03;5.70e-03;3.80e-03;6.40e+02;6.30e+01;2.70e+00;7.10e-01;2.00e-01;6.00e-02;3.10e-02;2.00e-02;1.50e-02;1.20e+03;1.30e+02;6.50e+00;2.00e+00;6.30e-01;2.20e-01;1.20e-01;8.20e-02;6.10e-02;2.70e+03;4.10e+02;1.80e+01;5.20e+00;1.60e+00;5.50e-01;3.20e-01;2.20e-01;1.70e-01;6.90e+03;1.10e+03;5.30e+01;1.40e+01;3.90e+00;1.20e+00;6.70e-01;4.40e-01;3.30e-01
10;muscle;1.00e+02;9.50e+00;3.90e-01;9.80e-02;2.60e-02;6.90e-03;3.30e-03;1.90e-03;1.30e-03;2.30e+02;2.20e+01;8.70e-01;2.20e-01;5.80e-02;1.60e-02;7.40e-03;4.40e-03;2.90e-03;5.10e+02;4.90e+01;2.10e+00;5.50e-01;1.50e-01;4.60e-02;2.40e-02;1.60e-02;1.10e-02;9.60e+02;1.00e+02;5.00e+00;1.50e+00;4.90e-01;1.70e-01;9.50e-02;6.30e-02;4.70e-02;2.50e+03;3.20e+02;1.40e+01;4.00e+00;1.20e+00;4.30e-01;2.50e-01;1.70e-01;1.30e-01;7.40e+03;9.20e+02;4.10e+01;1.10e+01;3.00e+00;9.60e-01;5.20e-01;3.40e-01;2.50e-01
