row_id;organ/stabiliy_class_dose_class_distance_km;A_0.03;A_0.1;A_0.2;A_0.3;A_0.4;A_0.5;A_0.6;A_0.7;A_0.8;A_0.9;A_1.0;A_2.0;A_4.0;A_6.0;A_8.0;A_10.0;A_20.0;A_40.0;A_60.0;A_80.0;B_0.03;B_0.1;B_0.2;B_0.3;B_0.4;B_0.5;B_0.6;B_0.7;B_0.8;B_0.9;B_1.0;B_2.0;B_4.0;B_6.0;B_8.0;B_10.0;B_20.0;B_40.0;B_60.0;B_80.0;C_0.03;C_0.1;C_0.2;C_0.3;C_0.4;C_0.5;C_0.6;C_0.7;C_0.8;C_0.9;C_1.0;C_2.0;C_4.0;C_6.0;C_8.0;C_10.0;C_20.0;C_40.0;C_60.0;C_80.0;D_0.03;D_0.1;D_0.2;D_0.3;D_0.4;D_0.5;D_0.6;D_0.7;D_0.8;D_0.9;D_1.0;D_2.0;D_4.0;D_6.0;D_8.0;D_10.0;D_20.0;D_40.0;D_60.0;D_80.0;E_0.03;E_0.1;E_0.2;E_0.3;E_0.4;E_0.5;E_0.6;E_0.7;E_0.8;E_0.9;E_1.0;E_2.0;E_4.0;E_6.0;E_8.0;E_10.0;E_20.0;E_40.0;E_60.0;E_80.0;F_0.03;F_0.1;F_0.2;F_0.3;F_0.4;F_0.5;F_0.6;F_0.7;F_0.8;F_0.9;F_1.0;F_2.0;F_4.0;F_6.0;F_8.0;F_10.0;F_20.0;F_40.0;F_60.0;F_80.0
1;adrenals;3.90e-01;3.60e-02;9.10e-03;4.10e-03;2.30e-03;1.50e-03;1.00e-03;7.60e-04;5.80e-04;4.60e-04;3.80e-04;9.80e-05;2.60e-05;1.30e-05;7.50e-06;5.00e-06;1.50e-06;4.90e-07;2.60e-07;1.70e-07;8.60e-01;8.20e-02;2.10e-02;9.20e-03;5.20e-03;3.30e-03;2.30e-03;1.70e-03;1.30e-03;1.00e-03;8.50e-04;2.20e-04;5.90e-05;2.80e-05;1.70e-05;1.10e-05;3.40e-06;1.10e-06;5.80e-07;3.70e-07;1.80e+00;1.90e-01;4.80e-02;2.10e-02;1.20e-02;7.90e-03;5.50e-03;4.10e-03;3.20e-03;2.50e-03;2.10e-03;5.80e-04;1.80e-04;9.20e-05;6.00e-05;4.30e-05;1.70e-05;7.10e-06;4.40e-06;3.20e-06;3.10e+00;3.80e-01;1.00e-01;4.90e-02;2.90e-02;1.90e-02;1.40e-02;1.10e-02;8.40e-03;6.90e-03;5.80e-03;1.90e-03;6.50e-04;3.60e-04;2.40e-04;1.80e-04;7.20e-05;3.00e-05;1.80e-05;1.30e-05;5.20e+00;1.20e+00;3.20e-01;1.40e-01;8.30e-02;5.50e-02;3.90e-02;2.90e-02;2.30e-02;1.80e-02;1.50e-02;4.70e-03;1.60e-03;9.40e-04;6.60e-04;5.10e-04;2.20e-04;9.30e-05;5.10e-05;3.40e-05;7.50e+00;2.90e+00;9.10e-01;4.20e-01;2.40e-01;1.50e-01;1.10e-01;8.10e-02;6.20e-02;5.00e-02;4.10e-02;1.20e-02;3.70e-03;2.00e-03;1.30e-03;9.80e-04;3.10e-04;7.40e-05;2.40e-05;1.10e-05
2;bladder_wall;3.80e-01;3.50e-02;8.70e-03;3.90e-03;2.20e-03;1.40e-03;9.80e-04;7.30e-04;5.60e-04;4.40e-04;3.60e-04;9.40e-05;2.50e-05;1.20e-05;7.10e-06;4.80e-06;1.50e-06;4.70e-07;2.50e-07;1.60e-07;8.20e-01;7.90e-02;2.00e-02;8.80e-03;5.00e-03;3.20e-03;2.20e-03;1.60e-03;1.30e-03;1.00e-03;8.10e-04;2.10e-04;5.70e-05;2.70e-05;1.60e-05;1.10e-05;3.30e-06;1.10e-06;5.60e-07;3.60e-07;1.70e+00;1.80e-01;4.50e-02;2.00e-02;1.20e-02;7.50e-03;5.30e-03;3.90e-03;3.10e-03;2.40e-03;2.00e-03;5.60e-04;1.70e-04;8.80e-05;5.70e-05;4.10e-05;1.60e-05;6.80e-06;4.30e-06;3.10e-06;3.00e+00;3.70e-01;9.90e-02;4.60e-02;2.70e-02;1.80e-02;1.30e-02;1.00e-02;8.10e-03;6.60e-03;5.50e-03;1.80e-03;6.20e-04;3.50e-04;2.30e-04;1.70e-04;6.90e-05;2.90e-05;1.80e-05;1.20e-05;5.10e+00;1.10e+00;3.00e-01;1.40e-01;8.00e-02;5.20e-02;3.70e-02;2.80e-02;2.20e-02;1.80e-02;1.50e-02;4.50e-03;1.60e-03;9.00e-04;6.30e-04;4.90e-04;2.10e-04;8.90e-05;4.90e-05;3.30e-05;7.90e+00;2.80e+00;8.70e-01;4.00e-01;2.30e-01;1.50e-01;1.00e-01;7.70e-02;6.00e-02;4.80e-02;3.90e-02;1.10e-02;3.50e-03;1.90e-03;1.30e-03;9.40e-04;2.90e-04;7.00e-05;2.30e-05;1.10e-05
3;brain;6.00e-02;5.40e-03;1.40e-03;6.10e-04;3.40e-04;2.20e-04;1.50e-04;1.10e-04;8.70e-05;6.90e-05;5.60e-05;1.50e-05;3.90e-06;1.90e-06;1.10e-06;7.50e-07;2.30e-07;7.40e-08;3.90e-08;2.50e-08;1.40e-01;1.20e-02;3.10e-03;1.40e-03;7.80e-04;5.00e-04;3.50e-04;2.60e-04;2.00e-04;1.60e-04;1.30e-04;3.30e-05;8.90e-06;4.20e-06;2.50e-06;1.70e-06;5.10e-07;1.70e-07;8.70e-08;5.60e-08;3.10e-01;2.80e-02;7.10e-03;3.20e-03;1.80e-03;1.20e-03;8.30e-04;6.10e-04;4.80e-04;3.80e-04;3.10e-04;8.70e-05;2.60e-05;1.40e-05;8.90e-06;6.40e-06;2.50e-06;1.10e-06;6.60e-07;4.80e-07;6.30e-01;5.90e-02;1.60e-02;7.30e-03;4.30e-03;2.90e-03;2.10e-03;1.60e-03;1.30e-03;1.00e-03;8.60e-04;2.80e-04;9.70e-05;5.40e-05;3.60e-05;2.70e-05;1.10e-05;4.50e-06;2.70e-06;1.90e-06;2.10e+00;1.90e-01;4.90e-02;2.20e-02;1.30e-02;8.20e-03;5.80e-03;4.40e-03;3.40e-03;2.80e-03;2.30e-03;7.00e-04;2.40e-04;1.40e-04;9.80e-05;7.60e-05;3.30e-05;1.40e-05;7.70e-06;5.10e-06;7.50e+00;6.20e-01;1.50e-01;6.60e-02;3.70e-02;2.30e-02;1.60e-02;1.20e-02;9.40e-03;7.50e-03;6.20e-03;1.70e-03;5.50e-04;3.00e-04;2.00e-04;1.50e-04;4.60e-05;1.10e-05;3.60e-06;1.60e-06
4;breast;3.50e-01;3.20e-02;8.00e-03;3.60e-03;2.00e-03;1.30e-03;9.00e-04;6.70e-04;5.10e-04;4.10e-04;3.30e-04;8.60e-05;2.30e-05;1.10e-05;6.60e-06;4.40e-06;1.30e-06;4.30e-07;2.30e-07;1.50e-07;7.60e-01;7.20e-02;1.80e-02;8.10e-03;4.60e-03;2.90e-03;2.00e-03;1.50e-03;1.20e-03;9.20e-04;7.50e-04;1.90e-04;5.20e-05;2.50e-05;1.50e-05;9.90e-06;3.00e-06;9.70e-07;5.10e-07;3.30e-07;1.60e+00;1.60e-01;4.20e-02;1.90e-02;1.10e-02;6.90e-03;4.90e-03;3.60e-03;2.80e-03;2.20e-03;1.80e-03;5.10e-04;1.60e-04;8.10e-05;5.20e-05;3.80e-05;1.50e-05;6.30e-06;3.90e-06;2.80e-06;2.80e+00;3.40e-01;9.10e-02;4.30e-02;2.50e-02;1.70e-02;1.20e-02;9.30e-03;7.40e-03;6.10e-03;5.10e-03;1.60e-03;5.70e-04;3.20e-04;2.10e-04;1.60e-04;6.30e-05;2.70e-05;1.60e-05;1.10e-05;5.00e+00;1.00e+00;2.80e-01;1.30e-01;7.30e-02;4.80e-02;3.40e-02;2.60e-02;2.00e-02;1.60e-02;1.30e-02;4.10e-03;1.40e-03;8.30e-04;5.80e-04;4.50e-04;1.90e-04;8.20e-05;4.50e-05;3.00e-05;8.70e+00;2.60e+00;8.00e-01;3.70e-01;2.10e-01;1.40e-01;9.50e-02;7.10e-02;5.50e-02;4.40e-02;3.60e-02;1.00e-02;3.20e-03;1.70e-03;1.20e-03;8.60e-04;2.70e-04;6.50e-05;2.10e-05;9.70e-06
5;esophagus;3.30e-01;3.10e-02;7.70e-03;3.40e-03;1.90e-03;1.20e-03;8.70e-04;6.40e-04;4.90e-04;3.90e-04;3.20e-04;8.30e-05;2.20e-05;1.10e-05;6.30e-06;4.30e-06;1.30e-06;4.20e-07;2.20e-07;1.40e-07;7.30e-01;7.00e-02;1.70e-02;7.80e-03;4.40e-03;2.80e-03;2.00e-03;1.50e-03;1.10e-03;8.80e-04;7.20e-04;1.90e-04;5.00e-05;2.40e-05;1.40e-05;9.60e-06;2.90e-06;9.40e-07;4.90e-07;3.10e-07;1.50e+00;1.60e-01;4.00e-02;1.80e-02;1.00e-02;6.70e-03;4.70e-03;3.50e-03;2.70e-03;2.20e-03;1.80e-03;4.90e-04;1.50e-04;7.80e-05;5.10e-05;3.70e-05;1.40e-05;6.00e-06;3.80e-06;2.70e-06;2.70e+00;3.20e-01;8.70e-02;4.10e-02;2.40e-02;1.60e-02;1.20e-02;9.00e-03;7.10e-03;5.80e-03;4.90e-03;1.60e-03;5.50e-04;3.10e-04;2.10e-04;1.50e-04;6.10e-05;2.60e-05;1.60e-05;1.10e-05;4.50e+00;9.90e-01;2.70e-01;1.20e-01;7.10e-02;4.60e-02;3.30e-02;2.50e-02;1.90e-02;1.60e-02;1.30e-02;4.00e-03;1.40e-03;8.00e-04;5.60e-04;4.30e-04;1.90e-04;7.90e-05;4.40e-05;2.90e-05;7.10e+00;2.50e+00;7.70e-01;3.60e-01;2.00e-01;1.30e-01;9.20e-02;6.80e-02;5.30e-02;4.20e-02;3.50e-02;9.80e-03;3.10e-03;1.70e-03;1.10e-03;8.30e-04;2.60e-04;6.20e-05;2.00e-05;9.30e-06
6;kidneys;3.70e-01;3.40e-02;8.50e-03;3.80e-03;2.10e-03;1.40e-03;9.60e-04;7.10e-04;5.40e-04;4.30e-04;3.50e-04;9.10e-05;2.50e-05;1.20e-05;7.00e-06;4.70e-06;1.40e-06;4.60e-07;2.40e-07;1.50e-07;8.00e-01;7.70e-02;1.90e-02;8.60e-03;4.80e-03;3.10e-03;2.20e-03;1.60e-03;1.20e-03;9.80e-04;7.90e-04;2.10e-04;5.50e-05;2.60e-05;1.60e-05;1.10e-05;3.20e-06;1.00e-06;5.40e-07;3.50e-07;1.70e+00;1.70e-01;4.40e-02;2.00e-02;1.10e-02;7.30e-03;5.20e-03;3.80e-03;3.00e-03;2.40e-03;1.90e-03;5.40e-04;1.60e-04;8.60e-05;5.60e-05;4.00e-05;1.60e-05;6.60e-06;4.10e-06;3.00e-06;3.00e+00;3.60e-01;9.60e-02;4.50e-02;2.70e-02;1.80e-02;1.30e-02;9.90e-03;7.90e-03;6.40e-03;5.40e-03;1.70e-03;6.10e-04;3.40e-04;2.30e-04;1.70e-04;6.70e-05;2.80e-05;1.70e-05;1.20e-05;5.00e+00;1.10e+00;3.00e-01;1.40e-01;7.80e-02;5.10e-02;3.60e-02;2.70e-02;2.10e-02;1.70e-02;1.40e-02;4.40e-03;1.50e-03;8.80e-04;6.10e-04;4.80e-04;2.10e-04;8.70e-05;4.80e-05;3.20e-05;7.90e+00;2.70e+00;8.50e-01;3.90e-01;2.20e-01;1.40e-01;1.00e-01;7.50e-02;5.80e-02;4.70e-02;3.80e-02;1.10e-02;3.40e-03;1.80e-03;1.20e-03;9.10e-04;2.90e-04;6.90e-05;2.20e-05;1.00e-05
7;liver;3.70e-01;3.40e-02;8.50e-03;3.80e-03;2.10e-03;1.40e-03;9.50e-04;7.00e-04;5.40e-04;4.30e-04;3.50e-04;9.10e-05;2.50e-05;1.20e-05;6.90e-06;4.70e-06;1.40e-06;4.60e-07;2.40e-07;1.50e-07;8.00e-01;7.70e-02;1.90e-02;8.60e-03;4.80e-03;3.10e-03;2.20e-03;1.60e-03;1.20e-03;9.70e-04;7.90e-04;2.10e-04;5.50e-05;2.60e-05;1.60e-05;1.10e-05;3.20e-06;1.00e-06;5.40e-07;3.50e-07;1.70e+00;1.70e-01;4.40e-02;2.00e-02;1.10e-02;7.30e-03;5.10e-03;3.80e-03;3.00e-03;2.40e-03;1.90e-03;5.40e-04;1.60e-04;8.60e-05;5.60e-05;4.00e-05;1.60e-05;6.60e-06;4.10e-06;3.00e-06;2.90e+00;3.60e-01;9.60e-02;4.50e-02;2.70e-02;1.80e-02;1.30e-02;9.90e-03;7.90e-03;6.40e-03;5.40e-03;1.70e-03;6.00e-04;3.40e-04;2.30e-04;1.70e-04;6.70e-05;2.80e-05;1.70e-05;1.20e-05;5.00e+00;1.10e+00;2.90e-01;1.30e-01;7.70e-02;5.10e-02;3.60e-02;2.70e-02;2.10e-02;1.70e-02;1.40e-02;4.40e-03;1.50e-03;8.70e-04;6.10e-04;4.70e-04;2.10e-04;8.60e-05;4.80e-05;3.20e-05;7.90e+00;2.70e+00;8.50e-01;3.90e-01;2.20e-01;1.40e-01;1.00e-01;7.50e-02;5.80e-02;4.60e-02;3.80e-02;1.10e-02;3.40e-03;1.80e-03;1.20e-03;9.10e-04;2.90e-04;6.80e-05;2.20e-05;1.00e-05
8;lli_wall;3.80e-01;3.50e-02;8.90e-03;4.00e-03;2.20e-03;1.40e-03;1.00e-03;7.40e-04;5.70e-04;4.50e-04;3.70e-04;9.50e-05;2.60e-05;1.20e-05;7.30e-06;4.90e-06;1.50e-06;4.80e-07;2.50e-07;1.60e-07;8.40e-01;8.00e-02;2.00e-02;9.00e-03;5.10e-03;3.30e-03;2.30e-03;1.70e-03;1.30e-03;1.00e-03;8.30e-04;2.20e-04;5.80e-05;2.70e-05;1.60e-05;1.10e-05;3.40e-06;1.10e-06;5.70e-07;3.60e-07;1.70e+00;1.80e-01;4.60e-02;2.10e-02;1.20e-02;7.70e-03;5.40e-03;4.00e-03;3.10e-03;2.50e-03;2.00e-03;5.70e-04;1.70e-04;9.00e-05;5.80e-05;4.20e-05;1.60e-05;6.90e-06;4.30e-06;3.10e-06;3.10e+00;3.70e-01;1.00e-01;4.70e-02;2.80e-02;1.90e-02;1.40e-02;1.00e-02;8.20e-03;6.70e-03;5.60e-03;1.80e-03;6.30e-04;3.50e-04;2.40e-04;1.80e-04;7.00e-05;3.00e-05;1.80e-05;1.30e-05;5.20e+00;1.10e+00;3.10e-01;1.40e-01;8.10e-02;5.30e-02;3.80e-02;2.80e-02;2.20e-02;1.80e-02;1.50e-02;4.60e-03;1.60e-03;9.20e-04;6.40e-04;5.00e-04;2.20e-04;9.10e-05;5.00e-05;3.30e-05;8.00e+00;2.80e+00;8.90e-01;4.10e-01;2.30e-01;1.50e-01;1.10e-01;7.90e-02;6.10e-02;4.90e-02;4.00e-02;1.10e-02;3.60e-03;1.90e-03;1.30e-03;9.50e-04;3.00e-04;7.20e-05;2.30e-05;1.10e-05
9;lung;3.80e-01;3.50e-02;8.70e-03;3.90e-03;2.20e-03;1.40e-03;9.80e-04;7.30e-04;5.60e-04;4.40e-04;3.60e-04;9.40e-05;2.50e-05;1.20e-05;7.10e-06;4.80e-06;1.50e-06;4.70e-07;2.50e-07;1.60e-07;8.30e-01;7.90e-02;2.00e-02;8.80e-03;5.00e-03;3.20e-03;2.20e-03;1.60e-03;1.30e-03;1.00e-03;8.20e-04;2.10e-04;5.70e-05;2.70e-05;1.60e-05;1.10e-05;3.30e-06;1.10e-06;5.60e-07;3.60e-07;1.70e+00;1.80e-01;4.60e-02;2.00e-02;1.20e-02;7.60e-03;5.30e-03;3.90e-03;3.10e-03;2.40e-03;2.00e-03;5.60e-04;1.70e-04;8.90e-05;5.70e-05;4.10e-05;1.60e-05;6.80e-06;4.30e-06;3.10e-06;3.00e+00;3.70e-01;9.90e-02;4.70e-02;2.70e-02;1.80e-02;1.30e-02;1.00e-02;8.10e-03;6.60e-03;5.50e-03;1.80e-03;6.20e-04;3.50e-04;2.30e-04;1.70e-04;6.90e-05;2.90e-05;1.80e-05;1.20e-05;5.20e+00;1.10e+00;3.00e-01;1.40e-01;8.00e-02;5.20e-02;3.70e-02;2.80e-02;2.20e-02;1.80e-02;1.50e-02;4.50e-03;1.60e-03;9.00e-04;6.30e-04;4.90e-04;2.10e-04;8.90e-05;4.90e-05;3.30e-05;8.30e+00;2.80e+00;8.70e-01;4.00e-01;2.30e-01;1.50e-01;1.00e-01;7.70e-02;6.00e-02;4.80e-02;3.90e-02;1.10e-02;3.50e-03;1.90e-03;1.30e-03;9.40e-04;2.90e-04;7.10e-05;2.30e-05;1.10e-05
10;muscle;3.50e-01;3.20e-02;8.00e-03;3.60e-03;2.00e-03;1.30e-03;9.10e-04;6.70e-04;5.10e-04;4.10e-04;3.30e-04;8.60e-05;2.30e-05;1.10e-05;6.60e-06;4.40e-06;1.40e-06;4.40e-07;2.30e-07;1.50e-07;7.60e-01;7.30e-02;1.80e-02;8.10e-03;4.60e-03;2.90e-03;2.10e-03;1.50e-03;1.20e-03;9.20e-04;7.50e-04;1.90e-04;5.20e-05;2.50e-05;1.50e-05;1.00e-05;3.00e-06;9.80e-07;5.10e-07;3.30e-07;1.60e+00;1.60e-01;4.20e-02;1.90e-02;1.10e-02;6.90e-03;4.90e-03;3.60e-03;2.80e-03;2.20e-03;1.80e-03;5.10e-04;1.60e-04;8.20e-05;5.30e-05;3.80e-05;1.50e-05;6.30e-06;3.90e-06;2.80e-06;2.80e+00;3.40e-01;9.10e-02;4.30e-02;2.50e-02;1.70e-02;1.20e-02;9.40e-03;7.50e-03;6.10e-03;5.10e-03;1.70e-03;5.70e-04;3.20e-04;2.10e-04;1.60e-04;6.40e-05;2.70e-05;1.60e-05;1.10e-05;5.10e+00;1.00e+00;2.80e-01;1.30e-01;7.40e-02;4.80e-02;3.40e-02;2.60e-02;2.00e-02;1.60e-02;1.30e-02;4.10e-03;1.40e-03;8.30e-04;5.80e-04;4.50e-04;2.00e-04;8.20e-05;4.50e-05;3.00e-05;8.90e+00;2.60e+00;8.10e-01;3.70e-01;2.10e-01;1.40e-01;9.60e-02;7.10e-02;5.50e-02;4.40e-02;3.60e-02;1.00e-02;3.20e-03;1.70e-03;1.20e-03;8.60e-04;2.70e-04;6.50e-05;2.10e-05;9.70e-06
