row_id;physical_stack_height_m;stack_exit_velocity_m_s;stack_diameter_m;stack_effluent_temp_deg_c;air_temperature_deg_c;effective_release_height_m;wind_speed_h=10_m_m_s;wind_direction_degrees;wind_from_the;wind_speed_h=h-eff_m_s;stability_class;receptor_height_m;inversion_layer_height;sample_time_min;breathing_rate_m3_sec;distance_coordinates;maximum_dose_distance_km_;maximum_tede_sv;inner_contour_dose_sv;middle_contour_dose_sv;outer_contour_dose_sv;exceeds_inner_dose_out_to_km;exceeds_middle_dose_out_to_km;exceeds_outer_dose_out_to_km;distance_km;tede_sv;respirable_time-integrated_air_concentration_bq-sec_m3;ground_surface_deposition_kbq_m2;ground_shine_dose_rate_sv_hr;arrival_time_hour:min;skin;surface_bone;spleen;breast;uli_wall;thymus;kidneys;pancreas;lung;red_marrow;ovaries;stomach_wall;lli_wall;esophagus;testes;brain;thyroid;liver;adrenals;si_wall;bladder_wall;muscle;uterus;inhalation_plume_passage;submersion_plume_passage;ground_shine
1;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;3.00e-02;3.70e-01;1.10e+11;3.30e+05;6.60e-04;00:01;4.50e-01;3.80e-01;3.70e-01;3.50e-01;3.80e-01;3.40e-01;3.70e-01;3.60e-01;3.80e-01;3.60e-01;3.50e-01;3.70e-01;3.80e-01;3.30e-01;3.80e-01;6.00e-02;3.50e-01;3.70e-01;3.90e-01;3.80e-01;3.80e-01;3.50e-01;3.80e-01;;;
2;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;1.00e-01;3.40e-02;9.90e+09;3.00e+04;6.00e-05;00:01;4.10e-02;3.50e-02;3.40e-02;3.20e-02;3.50e-02;3.10e-02;3.40e-02;3.30e-02;3.50e-02;3.30e-02;3.20e-02;3.40e-02;3.50e-02;3.10e-02;3.50e-02;5.40e-03;3.20e-02;3.40e-02;3.60e-02;3.50e-02;3.50e-02;3.20e-02;3.50e-02;;;
3;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;2.00e-01;8.60e-03;2.50e+09;7.50e+03;1.50e-05;00:01;1.00e-02;8.70e-03;8.50e-03;8.00e-03;8.80e-03;7.80e-03;8.50e-03;8.20e-03;8.70e-03;8.30e-03;8.10e-03;8.50e-03;8.90e-03;7.70e-03;8.80e-03;1.40e-03;8.10e-03;8.50e-03;9.10e-03;8.80e-03;8.70e-03;8.00e-03;8.80e-03;;;
4;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;3.00e-01;3.90e-03;1.10e+09;3.30e+03;6.60e-06;00:01;4.60e-03;3.90e-03;3.80e-03;3.60e-03;3.90e-03;3.50e-03;3.80e-03;3.70e-03;3.90e-03;3.70e-03;3.60e-03;3.80e-03;4.00e-03;3.40e-03;3.90e-03;6.10e-04;3.60e-03;3.80e-03;4.10e-03;3.90e-03;3.90e-03;3.60e-03;3.90e-03;;;
5;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;4.00e-01;2.20e-03;6.30e+08;1.90e+03;3.80e-06;00:02;2.60e-03;2.20e-03;2.10e-03;2.00e-03;2.20e-03;2.00e-03;2.10e-03;2.10e-03;2.20e-03;2.10e-03;2.00e-03;2.10e-03;2.20e-03;1.90e-03;2.20e-03;3.40e-04;2.00e-03;2.10e-03;2.30e-03;2.20e-03;2.20e-03;2.00e-03;2.20e-03;;;
6;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;5.00e-01;1.40e-03;4.00e+08;1.20e+03;2.40e-06;00:03;1.70e-03;1.40e-03;1.40e-03;1.30e-03;1.40e-03;1.30e-03;1.40e-03;1.30e-03;1.40e-03;1.30e-03;1.30e-03;1.40e-03;1.40e-03;1.20e-03;1.40e-03;2.20e-04;1.30e-03;1.40e-03;1.50e-03;1.40e-03;1.40e-03;1.30e-03;1.40e-03;;;
7;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;6.00e-01;9.70e-04;2.80e+08;8.40e+02;1.70e-06;00:03;1.20e-03;9.80e-04;9.60e-04;9.00e-04;9.90e-04;8.80e-04;9.60e-04;9.30e-04;9.80e-04;9.40e-04;9.10e-04;9.60e-04;1.00e-03;8.70e-04;9.90e-04;1.50e-04;9.10e-04;9.50e-04;1.00e-03;9.90e-04;9.80e-04;9.10e-04;9.90e-04;;;
8;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;7.00e-01;7.20e-04;2.10e+08;6.20e+02;1.20e-06;00:04;8.60e-04;7.20e-04;7.10e-04;6.70e-04;7.30e-04;6.50e-04;7.10e-04;6.80e-04;7.30e-04;6.90e-04;6.70e-04;7.10e-04;7.40e-04;6.40e-04;7.30e-04;1.10e-04;6.70e-04;7.00e-04;7.60e-04;7.30e-04;7.30e-04;6.70e-04;7.30e-04;;;
9;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;8.00e-01;5.50e-04;1.60e+08;4.80e+02;9.50e-07;00:04;6.60e-04;5.60e-04;5.40e-04;5.10e-04;5.60e-04;5.00e-04;5.40e-04;5.30e-04;5.60e-04;5.30e-04;5.20e-04;5.40e-04;5.70e-04;4.90e-04;5.60e-04;8.70e-05;5.20e-04;5.40e-04;5.80e-04;5.60e-04;5.60e-04;5.10e-04;5.60e-04;;;
10;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;9.00e-01;4.40e-04;1.30e+08;3.80e+02;7.60e-07;00:05;5.20e-04;4.40e-04;4.30e-04;4.10e-04;4.40e-04;4.00e-04;4.30e-04;4.20e-04;4.40e-04;4.20e-04;4.10e-04;4.30e-04;4.50e-04;3.90e-04;4.50e-04;6.90e-05;4.10e-04;4.30e-04;4.60e-04;4.50e-04;4.40e-04;4.10e-04;4.50e-04;;;
11;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;1.00e+00;3.60e-04;1.00e+08;3.10e+02;6.10e-07;00:06;4.30e-04;3.60e-04;3.50e-04;3.30e-04;3.60e-04;3.20e-04;3.50e-04;3.40e-04;3.60e-04;3.40e-04;3.30e-04;3.50e-04;3.70e-04;3.20e-04;3.60e-04;5.60e-05;3.30e-04;3.50e-04;3.80e-04;3.60e-04;3.60e-04;3.30e-04;3.60e-04;;;
12;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;2.00e+00;9.30e-05;2.70e+07;8.00e+01;1.60e-07;00:12;1.10e-04;9.30e-05;9.10e-05;8.60e-05;9.40e-05;8.40e-05;9.10e-05;8.80e-05;9.40e-05;8.90e-05;8.70e-05;9.10e-05;9.50e-05;8.30e-05;9.50e-05;1.50e-05;8.70e-05;9.10e-05;9.80e-05;9.50e-05;9.40e-05;8.60e-05;9.40e-05;;;
13;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;4.00e+00;2.50e-05;7.20e+06;2.20e+01;4.30e-08;00:24;3.00e-05;2.50e-05;2.50e-05;2.30e-05;2.50e-05;2.30e-05;2.50e-05;2.40e-05;2.50e-05;2.40e-05;2.30e-05;2.50e-05;2.60e-05;2.20e-05;2.60e-05;3.90e-06;2.30e-05;2.50e-05;2.60e-05;2.60e-05;2.50e-05;2.30e-05;2.50e-05;;;
14;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;6.00e+00;1.20e-05;3.40e+06;1.00e+01;2.00e-08;00:37;1.40e-05;1.20e-05;1.20e-05;1.10e-05;1.20e-05;1.10e-05;1.20e-05;1.10e-05;1.20e-05;1.10e-05;1.10e-05;1.20e-05;1.20e-05;1.10e-05;1.20e-05;1.90e-06;1.10e-05;1.20e-05;1.30e-05;1.20e-05;1.20e-05;1.10e-05;1.20e-05;;;
15;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;8.00e+00;7.10e-06;2.00e+06;6.10e+00;1.20e-08;00:49;8.50e-06;7.10e-06;7.00e-06;6.60e-06;7.20e-06;6.40e-06;7.00e-06;6.70e-06;7.10e-06;6.80e-06;6.60e-06;6.90e-06;7.30e-06;6.30e-06;7.20e-06;1.10e-06;6.60e-06;6.90e-06;7.50e-06;7.20e-06;7.10e-06;6.60e-06;7.20e-06;;;
16;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;1.00e+01;4.80e-06;1.40e+06;4.10e+00;8.20e-09;01:02;5.70e-06;4.80e-06;4.70e-06;4.40e-06;4.80e-06;4.30e-06;4.70e-06;4.50e-06;4.80e-06;4.60e-06;4.50e-06;4.70e-06;4.90e-06;4.30e-06;4.90e-06;7.50e-07;4.50e-06;4.70e-06;5.00e-06;4.90e-06;4.80e-06;4.40e-06;4.90e-06;;;
17;;;;;;0.00e+00;3.00e+00;1.95e+02;SSW;2.68e+00;A;1.50e+00;None;1.00e+01;3.33e-04;All;1.00e-02;2.80e+00;1.00e-01;8.00e-02;5.00e-02;5.80e-02;6.50e-02;;2.00e+01;1.50e-06;4.20e+05;1.30e+00;2.50e-09;02:04;1.70e-06;1.50e-06;1.40e-06;1.30e-06;1.50e-06;1.30e-06;1.40e-06;1.40e-06;1.50e-06;1.40e-06;1.40e-06;1.40e-06;1.50e-06;1.30e-06;1.50e-06;2.30e-07;1.40e-06;1.40e-06;1.50e-06;1.50e-06;1.50e-06;1.40e-06;1.50e-06;;;
